DATE,DPRIME
2014-01-01,3.2500000000000000
2014-02-01,3.2500000000000000
2014-03-01,3.2500000000000000
2014-04-01,3.2500000000000000
2014-05-01,3.2500000000000000
2014-06-01,3.2500000000000000
2014-07-01,3.2500000000000000
2014-08-01,3.2500000000000000
2014-09-01,3.2500000000000000
2014-10-01,3.2500000000000000
2014-11-01,3.2500000000000000
2014-12-01,3.2500000000000000
2015-01-01,3.2500000000000000
2015-02-01,3.2500000000000000
2015-03-01,3.2500000000000000
2015-04-01,3.2500000000000000
2015-05-01,3.2500000000000000
2015-06-01,3.2500000000000000
2015-07-01,3.2500000000000000
2015-08-01,3.2500000000000000
2015-09-01,3.2500000000000000
2015-10-01,3.2500000000000000
2015-11-01,3.2500000000000000
2015-12-01,3.3636363636363636
2016-01-01,3.5000000000000000
2016-02-01,3.5000000000000000
2016-03-01,3.5000000000000000
2016-04-01,3.5000000000000000
2016-05-01,3.5000000000000000
2016-06-01,3.5000000000000000
2016-07-01,3.5000000000000000
2016-08-01,3.5000000000000000
2016-09-01,3.5000000000000000
2016-10-01,3.5000000000000000
2016-11-01,3.5000000000000000
2016-12-01,3.6309523809523810
2017-01-01,3.7500000000000000
2017-02-01,3.7500000000000000
2017-03-01,3.8804347826086957
2017-04-01,4.0000000000000000
2017-05-01,4.0000000000000000
2017-06-01,4.1363636363636364
2017-07-01,4.2500000000000000
2017-08-01,4.2500000000000000
2017-09-01,4.2500000000000000
2017-10-01,4.2500000000000000
2017-11-01,4.2500000000000000
2017-12-01,4.3875000000000000
2018-01-01,4.5000000000000000
2018-02-01,4.5000000000000000
2018-03-01,4.5795454545454545
2018-04-01,4.7500000000000000
2018-05-01,4.7500000000000000
2018-06-01,4.8928571428571429
2018-07-01,5.0000000000000000
2018-08-01,5.0000000000000000
2018-09-01,5.0263157894736842
2018-10-01,5.2500000000000000
2018-11-01,5.2500000000000000
2018-12-01,5.3375000000000000
2019-01-01,5.5000000000000000
2019-02-01,5.5000000000000000
2019-03-01,5.5000000000000000
2019-04-01,5.5000000000000000
2019-05-01,5.5000000000000000
2019-06-01,5.5000000000000000
2019-07-01,5.5000000000000000
2019-08-01,5.2500000000000000
2019-09-01,5.1500000000000000
2019-10-01,4.9886363636363636
2019-11-01,4.7500000000000000
2019-12-01,4.7500000000000000
