DATE,DGS10
2014-01-01,2.8580952380952381
2014-02-01,2.7094736842105263
2014-03-01,2.7233333333333333
2014-04-01,2.7052380952380952
2014-05-01,2.5590476190476190
2014-06-01,2.5985714285714286
2014-07-01,2.5422727272727273
2014-08-01,2.4200000000000000
2014-09-01,2.5342857142857143
2014-10-01,2.3040909090909091
2014-11-01,2.3255555555555556
2014-12-01,2.2072727272727273
2015-01-01,1.8815000000000000
2015-02-01,1.9752631578947368
2015-03-01,2.0427272727272727
2015-04-01,1.9350000000000000
2015-05-01,2.1975000000000000
2015-06-01,2.3636363636363636
2015-07-01,2.3245454545454545
2015-08-01,2.1671428571428571
2015-09-01,2.1728571428571429
2015-10-01,2.0700000000000000
2015-11-01,2.2631578947368421
2015-12-01,2.2427272727272727
2016-01-01,2.0852631578947368
2016-02-01,1.7795000000000000
2016-03-01,1.8890909090909091
2016-04-01,1.8052380952380952
2016-05-01,1.8061904761904762
2016-06-01,1.6440909090909091
2016-07-01,1.5040000000000000
2016-08-01,1.5565217391304348
2016-09-01,1.6304761904761905
2016-10-01,1.7645000000000000
2016-11-01,2.1420000000000000
2016-12-01,2.4919047619047619
2017-01-01,2.4325000000000000
2017-02-01,2.4189473684210526
2017-03-01,2.4817391304347826
2017-04-01,2.2973684210526316
2017-05-01,2.3036363636363636
2017-06-01,2.1868181818181818
2017-07-01,2.3180000000000000
2017-08-01,2.2091304347826087
2017-09-01,2.2020000000000000
2017-10-01,2.3600000000000000
2017-11-01,2.3533333333333333
2017-12-01,2.4025000000000000
2018-01-01,2.5838095238095238
2018-02-01,2.8589473684210526
2018-03-01,2.8423809523809524
2018-04-01,2.8690476190476190
2018-05-01,2.9777272727272727
2018-06-01,2.9123809523809524
2018-07-01,2.8890476190476190
2018-08-01,2.8891304347826087
2018-09-01,3.0042105263157895
2018-10-01,3.1522727272727273
2018-11-01,3.1170000000000000
2018-12-01,2.8326315789473684
2019-01-01,2.7138095238095238
2019-02-01,2.6763157894736842
2019-03-01,2.5709523809523810
2019-04-01,2.5323809523809524
2019-05-01,2.3950000000000000
2019-06-01,2.0740000000000000
2019-07-01,2.0590909090909091
2019-08-01,1.6263636363636364
2019-09-01,1.6995000000000000
2019-10-01,1.7068181818181818
2019-11-01,1.8121052631578947
2019-12-01,1.8628571428571429
